0,0.35,70000,100000
10,0.70,70000,100000
20,2.00,70000,100000
30,2.00,70000,100000
40,1.99,70000,100000
50,1.07,70000,100000
60,1.05,70000,100000
70,1.02,70000,100000
80,0.97,70000,100000
90,0.99,70000,100000
100,1.03,70000,100000
110,1.08,70000,100000
120,1.11,70000,100000
130,1.11,70000,100000
140,1.08,70000,100000
150,1.06,70000,100000
160,1.06,70000,100000
170,1.06,70000,100000
180,1.06,70000,100000
190,1.06,70000,100000
200,1.06,70000,100000
210,1.02,70000,100000
220,1.02,70000,100000
230,1.05,70000,100000
240,1.11,70000,100000
250,1.11,70000,100000
260,1.09,70000,100000
270,1.06,70000,100000
280,1.05,70000,100000
290,1.03,70000,100000
300,1.03,70000,100000
310,1.02,70000,100000
320,1.02,70000,100000
330,1.03,70000,100000
340,1.06,70000,100000
350,1.06,70000,100000
360,1.03,70000,100000
370,1.03,70000,100000
380,1.02,70000,100000
390,1.03,70000,100000
400,1.03,70000,100000
