index,datapath,port,port-freebw
0,d00,1,100000.000000
0,d00,2,100000.000000
0,e00,1,100000.000000
0,e00,2,100000.000000
0,e00,3,100000.000000
0,c00,1,100000.000000
0,c00,2,100000.000000
0,a00,1,100000.000000
0,a00,2,100000.000000
0,a00,3,100000.000000
0,b00,1,100000.000000
0,b00,2,100000.000000
