0,0.35,70000,100000
10,0.70,70000,100000
20,1.99,70000,100000
30,2.00,70000,100000
40,1.99,70000,100000
50,1.05,70000,100000
60,1.05,70000,100000
70,1.04,70000,100000
80,1.00,70000,100000
90,0.99,70000,100000
100,1.02,70000,100000
110,1.06,70000,100000
120,1.08,70000,100000
130,9782.32,70000,100000
140,33324.39,70000,100000
150,60308.21,70000,100000
160,74672.57,70000,100000
170,75897.08,70000,100000
180,75576.01,70000,100000
190,76584.55,70000,100000
200,72178.55,70000,100000
210,46185.59,70000,100000
220,21031.46,70000,100000
230,670.87,70000,100000
240,1.08,70000,100000
250,1.08,70000,100000
260,1.06,70000,100000
270,1.06,70000,100000
280,1.06,70000,100000
290,1.06,70000,100000
300,1.05,70000,100000
310,1.02,70000,100000
320,1.02,70000,100000
330,1.02,70000,100000
340,1.06,70000,100000
350,1.08,70000,100000
360,1.06,70000,100000
370,1.05,70000,100000
380,1.02,70000,100000
390,1.03,70000,100000
